John Fox, Jr.
Thomas Dixon, Jr.
John Fox, Jr.
Thomas Dixon, Jr.
John Fox, Jr.
John Fox, Jr.
Eleanor H. Porter
Howard Spring
John P. Marquand
Taylor Caldwell
Max Shulman
Irwin Shaw
Terry Brooks
James Patterson
John le Carré
J.D. Salinger
Helen Hooven Santmyer
Alice Caldwell Hegan
Dan Brown
John Green
John Green
John Green
F. Scott Fitzgerald
Ethel M. Dell
Basil King
Rick Riordan
Israel Zangwill
Basil King
Alexander Lenard
Mary Roberts Rinehart
Booth Tarkington
Harold Bell Wright
Harold Robbins
Lawrence Sanders
Booth Tarkington
Rachel Field
E.L. James
Jojo Moyes
Paula Hawkins
Jojo Moyes
Stephen King
Gore Vidal
Arthur C. Clarke
Emerson Hough
John Hersey
Françoise Sagan
George R.R. Martin
Gene Stratton Porter
Terry McMillan
Winston Churchill
James Oliver Curwood
Louis Bromfield
Meredith Nicholson
John Kendrick Bangs
Frances Hodgson Burnett
Adria Locke Langley
Fredrik Backman
Irving Bacheller
Tom Wolfe
Winston Churchill
John Grisham
John le Carré
Mary Roberts Rinehart
John O'Hara
Allen Drury
Elizabeth Stuart Phelps Ward
John le Carré
Sidney Sheldon
Khaled Hosseini
Betty Smith
Betty Smith
Bess Streeter Aldrich
Frank Yerby
Danielle Steel
Ernest Hemingway
Hervey Allen
Allen Drury
Allen Drury
Susan Ertz
Michael Crichton
Arthur Hailey
James A. Michener
Maurice Thompson
Maurice Thompson
Mary Higgins Clark
Edwin O'Connor
Anne Parrish
Erich Maria Remarque
Anthony Doerr
Anthony Doerr
Rachel Field
Rachel Field
Mary Higgins Clark
Veronica Roth
Veronica Roth
Colleen McCullough
Robert Traver
Rachel Field
Vaughan Wilkins
Laura Krey
MacKinlay Kantor
MacKinlay Kantor
J. B. Priestley
Henry Sydnor Harrison
Dan Brown
Sinclair Lewis
Hervey Allen
Hervey Allen
Jerry B. Jenkins
Tim LaHaye
Erich Maria Remarque
Leon Uris
Tim LaHaye
Jerry B. Jenkins
Patrick Dennis
Sinclair Lewis
Gladys Hasty Carroll
Jerry B. Jenkins
Tim LaHaye
Nicholas Sparks
Ayn Rand
Mary Johnston
Aleksandr Solzhenitsyn
Patrick Dennis
Patrick Dennis
Theodore Watts-Dunton
John P. Marquand
Sinclair Lewis
Sinclair Lewis
Fannie Hurst
Viña Delmar
Stephen King
Ethel M. Dell
Leon M. Uris
James Patterson
Peter De Jonge
P. C. Wren
P. C. Wren
Irwin Shaw
Thomas B. Costain
Frank Yerby
Ian Maclaren
Ian Maclaren
George Barr McCutcheon
A. J. Cronin
Stephen King
Peter Straub
Gertrude Atherton
John Grisham
Sidney Sheldon
Patricia Cornwell
Frances Parkinson Keyes
Françoise Sagan
Patricia Cornwell
Kenneth Roberts
Kurt Vonnegut
Gore Vidal
James Gould Cozzens
Francis Hopkinson Smith
John Jakes
Terry Southern
Mason Hoffenberg
Allen Drury
Samuel Shellabarger
Taylor Caldwell
James A. Michener
James A. Michener
Sinclair Lewis
James Patterson
Suzanne Collins
Patricia Cornwell
Stephen King
James A. Michener
A. Hamilton Gibbs
Danielle Steel
James A. Michener
Alice Cholmondeley
Stephen King
Glenn Beck
Elizabeth von Arnim
Catherine Marshall
Catherine Marshall
Edna Ferber
John Rechy
Booth Tarkington
Tom Clancy
Charles Frazier
Edna Ferber
Meyer Levin
Winston Churchill
Carl Sagan
Fletcher Knebel
Charles W. Bailey II
John Updike
James Patterson
James Patterson
James Patterson
James Patterson
Stephen King
Agatha Christie
Van Wyck Mason
Irving Bacheller
Danielle Steel
Mary Roberts Rinehart
John Fowles
Anne Douglas Sedgwick
Morris West
Edward Noyes Westcott
Eleanor H. Porter
Tom Clancy
Charlaine Harris
Taylor Caldwell
Jean Webster
Nicholas Sparks
Anne Morrow Lindbergh
Tom Clancy
Max Nordau
Anaïs Nin
Edward Streeter
Jerry B. Jenkins
Tim LaHaye
Annemarie Selinko
Stephen King
Leona Dalrymple
Jeff Kinney
Jeff Kinney
Jeff Kinney
Jeff Kinney
Stephen King
Frances Parkinson Keyes
Frances Parkinson Keyes
Michael Crichton
Lloyd C. Douglas
Veronica Roth
Veronica Roth
Stephen King
Boris Pasternak
Boris Pasternak
Sinclair Lewis
Stephen King
Jacqueline Susann
William Brinkley
Herman Wouk
Warwick Deeping
Charles Major
James Patterson
Pearl S. Buck
Stephen King
Harold Robbins
Elizabeth Pickett
Walter D. Edmonds
Walter D. Edmonds
William Kotzwinkle
Gwethalyn Graham
John Steinbeck
Marcia Davenport
Irving Bacheller
Irving Bacheller
Janet Evanovich
John O'Hara
Sinclair Lewis
Kay Thompson
Kay Thompson
Kay Thompson
Ethel Vance
Robert Briffault
Irwin Shaw
Belva Plain
Stephen King
Tom Clancy
Warwick Deeping
Leon Uris
Janet Evanovich
Ken Follett
Aldous Huxley
Eugene Burdick
Harvey Wheeler
Danielle Steel
Edward Streeter
Janet Evanovich
F. Hopkinson Smith
E.L. James
E.L. James
E.L. James
Mazo de la Roche
Danielle Steel
Janet Evanovich
Stephen King
Danielle Steel
Frank Yerby
Mario Puzo
Mitch Albom
Ernest Hemingway
Ernest Hemingway
John Grisham
Kathleen Winsor
Kathleen Winsor
Lloyd C. Douglas
James Patterson
Stephen King
J. Breckenridge Ellis
J.D. Salinger
J.D. Salinger
Jonathan Franzen
James Jones
James Jones
John O'Hara
Victoria Saxon
Danielle Steel
Stephen King
Booth Tarkington
Laura Z. Hobson
Anita Loos
Stephen King
Edna Ferber
E. Barrington
Jerry B. Jenkins
Tim LaHaye
Harper Lee
Gillian Flynn
Gillian Flynn
Margaret Mitchell
Margaret Mitchell
James Hilton
James Hilton
Harold Robbins
Thomas Nelson Page
Martin Cruz Smith
Vicki Baum
Taylor Caldwell
George Barr McCutcheon
John Grisham
Taylor Caldwell
Ethel M. Dell
Elizabeth Goudge
Lloyd C. Douglas
E.L. James
John P. Marquand
Harold MacGrath
Thomas Harris
Thomas Harris
Kathleen Norris
James A. Michener
James A. Michener
John Fox, Jr.
Danielle Steel
Stephen King
John Jakes
Thornton Wilder
Mary Augusta Ward
Harold Bell Wright
Gene Stratton-Porter
Saul Bellow
Saul Bellow
Thomas B. Costain
Arthur Train
Ernest Poole
Jackie Collins
Jackie Collins
Patricia Cornwell
Arthur Hailey
Ben Ames Williams
Richard Llewellyn
Erica Jong
Silas Weir Mitchell
Saul Bellow
Daphne du Maurier
Margaret Craven
Judith Krantz
James Patterson
Edna Ferber
Sidney Sheldon
A. S. M. Hutchinson
Richard Bach
Richard Bach
Irving Stone
Robert W. Chambers
Miriam Michelson
Robert S. Hichens
Dan Brown
Phyllis Bentley
Stephen King
Veronica Roth
Danielle Steel
Ernest Hemingway
Sinclair Lewis
Stephen King
William J. Locke
Kurt Vonnegut
Mazo de la Roche
Mazo de la Roche
George Barr McCutcheon
Paul Leicester Ford
Paul Leicester Ford
Peter Benchley
Danielle Steel
Richard Bach
Richard Bach
H. W. Freeman
Danielle Steel
Frances Parkinson Keyes
Louis L'Amour
Gwen Bristow
Eleanor H. Porter
Mary Roberts Rinehart
Danielle Steel
Ian Maclaren
Elinor Macartney Lane
James Patterson
Bill O'Reilly
Peter B. Kyne
Henry Bellamann
Sinclair Lewis
Christopher Morley
Christopher Morley
Gene Stratton Porter
Owen Wister
Jackie Collins
D. H. Lawrence
Mary Augusta Ward
Garrison Keillor
Caroline Miller
Anne Rice
Louis L'Amour
Janet Evanovich
Ben Ames Williams
Garrison Keillor
George Horace Lorimer
Mary Johnston
Ellen Glasgow
Jan Karon
Danielle Steel
Laura Esquivel
Gore Vidal
Stephen King
Hans Fallada
Tom Clancy
Mark Greaney
Vladimir Nabokov
Vladimir Nabokov
James Patterson
Judith Rossner
C. N. Williamson
A. M. Williamson
Samuel Shellabarger
Mary Roberts Rinehart
James Hilton
John Jakes
Irving Stone
Erich Segal
Mary Higgins Clark
Alice Hegan Rice
Jackie Collins
Kenneth Roberts
Lloyd C. Douglas
Lloyd C. Douglas
Louis Golding
John Galsworthy
Sinclair Lewis
Danielle Steel
DuBose Heyward
J. M. Barrie
Louis Hémon
Herman Wouk
Daphne du Maurier
Mary Ellen Chase
Booth Tarkington
Sholem Asch
Eleanor H. Porter
Kit Williams
Sidney Sheldon
Katherine Cecil Thurston
Jojo Moyes
Harold Robbins
Sidney Sheldon
Helen MacInnes
Danielle Steel
James A. Michener
Gene Stratton Porter
Michael Crichton
Leon Uris
Danielle Steel
Stephen King
Bess Streeter Aldrich
Judith Krantz
Rafael Sabatini
Leon Uris
Danielle Steel
Suzanne Collins
Eleanor Hallowell Abbott
Eleanor Hallowell Abbott
Sholem Asch
Isabel Scott Rorick
H. G. Wells
H. G. Wells
Winston Churchill
Finley Peter Dunne
Paul Gallico
Jan Struther
Louis Bromfield
Alice Hegan Rice
Daphne du Maurier
Henry Harland
Maarten Maartens
Chaim Potok
Gore Vidal
Penelope Ashe
Frank H. Spearman
George Barr McCutcheon
Stephen King
Michael Crichton
Louis Bromfield
Ken Follett
Stephen King
Danielle Steel
Mac Hyman
Mac Hyman
Cynthia Freeman
Richard Whiteing
James Clavell
John Jakes
Kenneth Roberts
Kenneth Roberts
Morton Thompson
Morton Thompson
John Steinbeck
Thomas Wolfe
Alice Tisdale Hobart
Warwick Deeping
Warwick Deeping
Kenneth Roberts
Kenneth Roberts
Erich Segal
Nevil Shute
Flora Annie Steel
Jacqueline Susann
A. S. M. Hutchinson
John Galsworthy
Richard Bach
John O'Hara
Arthur Hailey
Toni Morrison
Tom Clancy
O. E. Rolvaag
Kate Douglas Wiggin
Booth Tarkington
Stephen King
F. Hopkinson Smith
F. Hopkinson Smith
Grace Metalious
Grace Metalious
Anthony Hope
Elizabeth Goudge
Michael Crichton
John Grisham
Scott Turow
Janet Evanovich
Janet Evanovich
John P. Marquand
Patricia Cornwell
James A. Michener
James Finn Garner
James Finn Garner
Eleanor H. Porter
Eleanor H. Porter
Eleanor H. Porter
Robert Ruark
Patricia Cornwell
Philip Roth
Patricia Cornwell
Allen Drury
Scott Turow
Mary Higgins Clark
Michael Crichton
Frank Yerby
Anonymous
Samuel Shellabarger
Judith Krantz
Phyllis Bottome
John Kendrick Bangs
Leon Uris
Henry Sydnor Harrison
Henryk Sienkiewicz
Henryk Sienkiewicz
John Updike
Sidney Sheldon
E. L. Doctorow
Tom Clancy
James Hilton
Belva Plain
Kate Douglas Wiggin
Daphne du Maurier
Daphne du Maurier
Mary Cholmondeley
Tom Clancy
Thomas Nelson Page
Tom Clancy
Larry Bond
Barbara Taylor Bradford
James Kahn
James A. Michener
Winston Churchill
Winston Churchill
Hugh Walpole
John Grisham
Warwick Deeping
Stephen King
Kate Douglas Wiggin
Ira Levin
James Patterson
Nicholas Sparks
Alice Hegan Rice
Edna Ferber
Hallie Erminie Rives
Julia Peterkin
Alexandra Ripley
Patricia Cornwell
Judith Krantz
Howard Fast
Danielle Steel
Nicholas Sparks
Dan Jenkins
J. M. Barrie
J. M. Barrie
Rosamunde Pilcher
William J. Locke
John O'Hara
Fletcher Knebel
Charles W. Bailey II
Isak Dinesen
Booth Tarkington
Willa Cather
A. J. Cronin
Katherine Anne Porter
Edna Ferber
Stanley J. Weyman
James Clavell
Danielle Steel
Mary Higgins Clark
Robert Keable
Anthony Hope
William J. Locke
Mary Johnston
Lucas Malet
Janet Evanovich
Stephen King
John Grisham
John Grisham
Kurt Vonnegut
Agatha Christie
Robert James Waller
John le Carré
Janet Evanovich
Edna Ferber
John P. Marquand
Stark Young
James Hilton
Richard Harding Davis
Joseph Heller
Robert Ruark
Stephen McKenna
Pearl S. Buck
William Styron
Warwick Deeping
Warwick Deeping
A. Hamilton Gibbs
James A. Michener
Charles Langbridge Morgan
Danielle Steel
Kathleen Winsor
Danielle Steel
F. van Wyck Mason
Michael Crichton
Frances Parkinson Keyes
Jack Higgins
Lillian Smith
John Galsworthy
John Steinbeck
John Grisham
Frances Hodgson Burnett
Frances Hodgson Burnett
James Clavell
Anne Douglas Sedgwick
Maeve Binchy
Adela Rogers St. Johns
John O'Hara
Taylor Caldwell
James A. Michener
James Patterson
Maxine Paetro
James Patterson
Maxine Paetro
Mika Waltari
Harold Robbins
Frank R. Stockton
Silas Weir Mitchell
Edith Wharton
Irving Stone
Irving Stone
Jeffery Farnol
Mary Roberts Rinehart
Morris West
Michael Crichton
Sholem Asch
Sholem Asch
John Grisham
Robert Ludlum
Elia Kazan
Joseph Conrad
John Grisham
Margaret Deland
Rex Beach
Gilbert Parker
Rumer Godden
Tom Clancy
Sidney Sheldon
Nicholas Sparks
Harold Robbins
James Patterson
Lloyd C. Douglas
Lloyd C. Douglas
Paul E. Erdman
S. S. Van Dine
Agnes Sligh Turnbull
Louis Joseph Vance
Thomas B. Costain
Thomas B. Costain
Henry van Dyke
Temple Bailey
Robert Ludlum
Robert Ludlum
Robert Ludlum
Louis Joseph Vance
Mary Roberts Rinehart
Mary Roberts Rinehart
John Grisham
Warwick Deeping
Thornton Wilder
Robert James Waller
Robert James Waller
Dorothy Canfield
Jeffery Farnol
John Grisham
Scott Turow
Dr. Seuss
Herman Wouk
Herman Wouk
Zane Grey
Tom Clancy
Henry Morton Robinson
Henry Morton Robinson
Rafael Sabatini
Harold Robbins
James Redfield
James Redfield
John Grisham
Irving Wallace
Nicholas Sparks
James Lane Allen
Joseph Wambaugh
Chaim Potok
Hall Caine
Richard Paul Evans
A. J. Cronin
A. J. Cronin
John Grisham
Coningsby Dawson
Robert W. Chambers
John Grisham
William Styron
Marcia Davenport
Margaret Kennedy
Jonathan Franzen
James A. Michener
Winston Churchill
Winston Churchill
Nicholas Monsarrat
Mary Stewart
Dan Brown
Dan Brown
Dan Brown
Harold Frederic
Stephen King
Dean Koontz
George Barr McCutcheon
Frederick Forsyth
Frederick Forsyth
Rudyard Kipling
Rudyard Kipling
Ian Maclaren
Stephen King
Peter Benchley
Jeffery Farnol
Ellen Glasgow
Zane Grey
Frederick Forsyth
W. B. Maxwell
Temple Bailey
Budd Schulberg
Ralph Connor
Frederick Forsyth
Sidney Sheldon
Mary Roberts Rinehart
Helen MacInnes
James A. Michener
Jack Higgins
Edwin O'Connor
Mika Waltari
Mika Waltari
Thornton Wilder
Louis Auchincloss
Elizabeth von Arnim
Jerome Weidman
Howard Fast
Henry Sutton
William Peter Blatty
Stephen King
Harold Bell Wright
Nina Fedorova
Irving Wallace
Louis Bromfield
John Green
Larry Collins
Dominique Lapierre
Robert W. Chambers
John Grisham
Mitch Albom
Mitch Albom
Bernard Malamud
Hervey Allen
William J. Locke
Franz Werfel
Cardinal Spellman
Charles Langbridge Morgan
Vicente Blasco Ibáñez
Frederick Forsyth
Frank Yerby
John Fowles
Mary Stewart
Susan Ertz
Katherine Cecil Thurston
Jimmy Breslin
Robert Hichens
Danielle Steel
Danielle Steel
Paula Hawkins
Paula Hawkins
Stieg Larsson
Stephen King
Daphne du Maurier
Joseph Wambaugh
Mario Puzo
Frank Yerby
Pearl S. Buck
Pearl S. Buck
Harold MacGrath
Agnes Sligh Turnbull
John Steinbeck
John Steinbeck
E. Phillips Oppenheim
Michael Crichton
Irving Stone
Robin Moore
Michael Arlen
A. J. Cronin
S. S. Van Dine
Mary McCarthy
Ernest Poole
Gene Stratton Porter
Gene Stratton Porter
Frances Hodgson Burnett
Kathleen Norris
Philip Gibbs
Bertha Runkle
Kathryn Stockett
Kathryn Stockett
Ernest K. Gann
Elizabeth Kostova
Robert Ludlum
Mary Stewart
Dorothy Canfield Fisher
Paul Leicester Ford
Graham Greene
John le Carré
Nicholas Evans
Stephenie Meyer
Stephenie Meyer
John Irving
Arthur Conan Doyle
Sylvia Thompson
Meredith Nicholson
Rick Riordan
Edith Wharton
Edith Wharton
Danielle Steel
Daphne du Maurier
Howard Spring
William Saroyan
Suzanne Collins
Charles Nordhoff
James Norman Hall
Robert Ludlum
Jerry B. Jenkins
Tim LaHaye
Harold Robbins
Winston Churchill
Winston Churchill
Margaret Deland
Gilbert Parker
Upton Sinclair
Vaughan Kester
Gene Stratton-Porter
Ken Follett
A. J. Cronin
A. J. Cronin
John Grisham
Daphne du Maurier
Hallie Erminie Rives
Coningsby Dawson
Danielle Steel
Danielle Steel
Frances Little
Ethel M. Dell
Mary Stewart
Edwin O'Connor
John Grisham
Patricia Cornwell
George Santayana
Nicholas Sparks
Giuseppe Tomasi di Lampedusa
Maurice Hewlett
Joan Rivers
Irving Bacheller
Taylor Caldwell
John Grisham
John le Carré
Anne Douglas Sedgwick
Anne Douglas Sedgwick
Zane Grey
Harold Robbins
Louis L'Amour
Danielle Steel
Mary Johnston
John le Carré
Dan Brown
Michael Crichton
Jacqueline Susann
Mary Ellen Chase
Alice Sebold
Alice Sebold
Nicholas Sparks
Harold MacGrath
Ralph Connor
Jean M. Auel
George Barr McCutcheon
Ken Follett
Mary Roberts Rinehart
Sloan Wilson
Zane Grey
Ian Fleming
Irving Wallace
Simone de Beauvoir
Hall Caine
Rick Riordan
Jerry B. Jenkin
Tim LaHaye
Harold Frederic
Mary Augusta Ward
Andy Weir
Richard E. Kim
Katherine Cecil Thurston
Katherine Cecil Thurston
Mazo de la Roche
Robert Ludlum
Robert Ludlum
Maria Thompson Daviess
Sue Monk Kidd
James Lane Allen
Russell Janney
Russell Janney
Emerson Hough
Arthur Hailey
Thomas B. Costain
John Steinbeck
Phyllis Bottome
Zane Grey
Norman Mailer
Umberto Eco
Emma McLaughlin
Nicola Kraus
Sholem Asch
Sholem Asch
Rex Beach
Kristin Hannah
Frederick Forsyth
Frederick Forsyth
Anne Douglas Sedgwick
Ernest Hemingway
Tom Tryon
Daphne du Maurier
Robert Ludlum
John Grisham
Irving Stone
E. Phillips Oppenheim
John Grisham
Anne Parrish
Ken Follett
Frank Norris
Jean M. Auel
Percy Marks
Irving Wallace
Booth Tarkington
Meredith Nicholson
Joseph C. Lincoln
Gwen Davis
Agnes Castle
Egerton Castle
George Barr McCutcheon
